topic,hook,line1,line2,line3,line4,line5,cta,title_base
silence_peace,आज की सच्चाई: अकेलापन और एकांत अलग हैं।,"अकेलापन डराता है, एकांत सिखाता है।","जब तुम खुद के साथ सहज होते हो, वही असली शांति है।","किसी की कमी महसूस करना गलत नहीं, पर खुद को भूलना गलत है।","अपने साथ समय बिताना, सबसे ज़रूरी रिश्ता है।",आज खुद से एक सवाल पूछो: मैं कैसा हूँ?,"इसे किसी अकेले दोस्त को भेजें। रुको, फिर से सुनो।",Akelapan aur ekant alag hain
silence_peace,ज़रा रुक जाओ। शांति कोई मंज़िल नहीं।,"शांति कोई जगह नहीं, एक तरीका है जीने का।","तुम इसे ढूंढते नहीं, चुनते हो।",हर पल में थोड़ा ठहराव लाना ही अभ्यास है।,"जल्दी में जीना, शांति खोने की सबसे बड़ी वजह है।","आज थोड़ा धीरे चलो, जानबूझकर।",रोज़ की याद के लिए फॉलो करें। फिर से सुनो।,Shanti koi manzil nahi
rishikesh_sukoon,यह बात ध्यान से सुनो: गंगा के किनारे एक सबक।,"पानी कभी रुकता नहीं, फिर भी शांत दिखता है।",बहते रहना ही असली स्थिरता है।,"जो पकड़कर रखते हैं, वही सबसे ज़्यादा थकते हैं।","आज कुछ छोड़ने का अभ्यास करो, गंगा की तरह।","किनारे बैठो, और बस देखो, कुछ मत सोचो।",इस सबक को सेव करें। दोबारा देखो।,Ganga ke kinare ek sabak
rishikesh_sukoon,यह जान लो: पहाड़ों की सुबह।,"यहाँ सूरज देर से आता है, पर सुकून जल्दी मिलता है।",शहर की भागदौड़ यहाँ पहुंचते ही धीमी पड़ जाती है।,"एक चाय का कप, और घंटी की आवाज़ ही काफी है।","तुम्हें बड़ी छुट्टी नहीं, बस एक शांत सुबह चाहिए।",आज अपनी सुबह थोड़ी धीमी बनाओ।,सुबह की शांति के लिए फॉलो करें। एक बार और सुनो।,Pahadon ki subah
rishikesh_sukoon,एक मिनट रुको: योग नगरी का राज़।,"यहाँ लोग शरीर नहीं, मन को साधने आते हैं।",हर सांस के साथ थोड़ा वापस खुद में आना सीखो।,"शरीर झुकता है, तो अहंकार भी थोड़ा झुकता है।","रोज़ पांच मिनट का ठहराव, ज़िंदगी बदल सकता है।",आज एक गहरी सांस के साथ शुरुआत करो।,इसे किसी योग प्रेमी दोस्त को भेजें। फिर से महसूस करो।,Yoga nagari ka raaz
rishikesh_sukoon,रुको— राम झूला पार करते हुए।,"हर कदम पर पुल थोड़ा हिलता है, फिर भी तुम चलते रहते हो।","ज़िंदगी भी ऐसी ही है, डगमगाती है पर टूटती नहीं।","नीचे बहती गंगा याद दिलाती है, सब बहता है।",डर के साथ भी आगे बढ़ना ही हिम्मत है।,आज एक डर के बावजूद एक कदम बढ़ाओ।,हिम्मत के लिए सेव करें। इसे फिर सुनो।,Ram Jhula paar karte hue
rishikesh_sukoon,एक सच सुनो: ऋषिकेश जो सिखा गया।,"यहाँ किसी को जल्दी नहीं होती, फिर भी सब पहुंच जाते हैं।","धीमा चलना हार नहीं, समझदारी है।","पहाड़ और नदी दोनों अपनी गति से चलते हैं, तुलना नहीं करते।",तुम्हारी रफ़्तार भी सिर्फ तुम्हारी होनी चाहिए।,आज किसी से खुद की तुलना मत करो।,"अपनी रफ़्तार से चलने वालों के लिए फॉलो करें। रुको, फिर से सुनो।",Rishikesh jo sikha gaya
detachment,क्या तुम्हें पता है? छोड़ना कमज़ोरी नहीं।,"जो चीज़ तुम्हें रोज़ थकाए, उसे पकड़े रहना बहादुरी नहीं।","कुछ दरवाज़े बंद करना, नए दरवाज़ों के लिए जगह बनाता है।","हर रिश्ता निभाना ज़रूरी नहीं, कुछ सिर्फ सबक होते हैं।","खुद को दोष देना बंद करो, सीखो और आगे बढ़ो।","आज एक बात जाने दो, जो अब तुम्हारी नहीं है।","जिसे यह चाहिए, उसे भेजें। फिर से सुनो।",Chhodna kamzori nahi
detachment,"आज की सच्चाई: उम्मीद कम, शांति ज़्यादा।","हर किसी से उम्मीद रखना, अपनी शांति खुद छीनना है।","लोग वही करेंगे, जो उनकी समझ इजाज़त देती है।","तुम्हारा काम अच्छा करना है, नतीजा तय करना नहीं।","जो तुम्हारे नियंत्रण में नहीं, उसे पकड़कर मत बैठो।","आज कम उम्मीद, ज़्यादा भरोसा रखो खुद पर।",इसे सेव करके दोबारा पढ़ें। दोबारा देखो।,"Ummeed kam, shanti zyada"
detachment,ज़रा रुक जाओ। पुराने पन्ने बंद करो।,"बीता हुआ कल, आज का बोझ नहीं बनना चाहिए।","हर गलती सज़ा नहीं, एक सबक होती है।","जो माफ़ नहीं कर पाते, वही सबसे ज़्यादा बंधे रहते हैं।","खुद को माफ़ करना, सबसे बड़ी आज़ादी है।",आज एक पुरानी बात को हमेशा के लिए जाने दो।,नई शुरुआत के लिए फॉलो करें। एक बार और सुनो।,Purane panne band karo
detachment,यह बात ध्यान से सुनो: हल्का होना सीखो।,"हर बोझ दिखता नहीं, पर महसूस ज़रूर होता है।","गुस्सा, शिकायत, तुलना - ये सब वज़न हैं।","जितना कम पकड़ोगे, उतना आसानी से चलोगे।",खाली हाथ भी भरे मन से चला जा सकता है।,आज एक शिकायत कम करो।,हल्का महसूस करने के लिए सेव करें। फिर से महसूस करो।,Halka hona seekho
detachment,"यह जान लो: जो तुम्हारा नहीं, वो रुकेगा नहीं।","जो जाना है, वो चाहे कितना भी पकड़ो, चला जाएगा।","जो रुकना है, वो बिना कोशिश के भी रुक जाएगा।","अपनी ऊर्जा पकड़ने में मत लगाओ, जीने में लगाओ।","भरोसा रखो, हर चीज़ अपने समय पर होती है।","आज किसी चीज़ को बहने दो, रोको मत।",भरोसे के लिए फॉलो करें। इसे फिर सुनो।,"Jo tumhara nahi, wo rukega nahi"
karma,एक मिनट रुको: नीयत साफ़ रखो।,हर काम का दिखावा ज़रूरी नहीं होता।,"जो बिना वजह अच्छा करता है, वही सच में अच्छा है।","इनाम की उम्मीद के बिना दी गई मदद, सबसे बड़ा पुण्य है।","तुम्हारी नीयत, तुम्हारे कर्म से बड़ी होती है।",आज बिना बताए किसी की मदद करो।,"अच्छे कर्म के लिए फॉलो करें। रुको, फिर से सुनो।",Niyat saaf rakho
karma,"रुको— जो बोओगे, वही काटोगे।","गुस्से का जवाब गुस्सा नहीं, समझ होनी चाहिए।","जो ऊर्जा तुम बांटते हो, वही लौटकर आती है।","दया करना कमज़ोरी नहीं, ताकत है।","आज किसी के साथ नरमी से पेश आओ, बिना वजह।","बदला नहीं, संतुलन ढूंढो।",इसे उन्हें भेजें जिन्हें यह याद रखना चाहिए। फिर से सुनो।,"Jo booge, wahi kaatoge"
karma,एक सच सुनो: चुप्पी में भी कर्म है।,"हर बार बोलना ज़रूरी नहीं, कभी सुनना भी कर्म है।","जो सुनता है ध्यान से, वो सम्मान देता है।","शब्दों से ज़्यादा, तुम्हारा व्यवहार बोलता है।",आज किसी की पूरी बात बिना टोके सुनो।,यही सच्चा सम्मान है।,सजगता के लिए फॉलो करें। दोबारा देखो।,Chuppi mein bhi karma hai
karma,क्या तुम्हें पता है? ईमानदारी सबसे बड़ा कर्म।,"झूठ अस्थायी राहत देता है, सच स्थायी शांति।","खुद से ईमानदार रहना, सबसे पहला कदम है।","जो खुद को धोखा नहीं देता, वही सच में मजबूत है।",आज खुद से एक सच्चाई स्वीकार करो।,यही असली प्रगति है।,ईमानदारी की याद के लिए सेव करें। एक बार और सुनो।,Imaandari sabse bada karma
karma,आज की सच्चाई: धैर्य भी एक कर्म है।,"इंतज़ार करना कमज़ोरी नहीं, समझदारी है।",हर बीज को उगने का समय चाहिए।,"जल्दी में लिए फैसले, अक्सर पछतावा लाते हैं।",आज किसी काम को जल्दबाज़ी में मत करो।,समय पर भरोसा रखो।,धैर्य के लिए फॉलो करें। फिर से महसूस करो।,Dhairya bhi ek karma hai
brahma_muhurta,ज़रा रुक जाओ। सुबह की चुप्पी।,"सुबह जितनी शांत होती है, दिन उतना संभला रहता है।","फोन से पहले, खुद से बात करो।","पांच मिनट की खामोशी, पूरे दिन की दिशा तय करती है।","जल्दबाज़ी में उठना, दिन को भी जल्दबाज़ी में बदल देता है।","कल थोड़ा जल्दी उठकर, सिर्फ बैठो, कुछ मत करो।",सुबह की याद के लिए सेव करें। इसे फिर सुनो।,Subah ki chuppi
brahma_muhurta,"यह बात ध्यान से सुनो: पहला विचार, पहला असर।","जागते ही जो सोचोगे, वही पूरे दिन का रंग बनेगा।","शिकायत से नहीं, शुक्रिया से दिन शुरू करो।","एक अच्छी सोच, कई बुरे पलों को हल्का कर देती है।",आज जागते ही एक चीज़ के लिए शुक्रिया कहो।,"यह आदत छोटी है, असर बड़ा है।","कल सुबह के लिए याद रखें। रुको, फिर से सुनो।","Pehla vichar, pehla asar"
brahma_muhurta,यह जान लो: सूरज उगने से पहले।,"अंधेरे में उठना डरावना नहीं, ताकतवर लगता है।","जब दुनिया सो रही होती है, तब तुम खुद को सुनते हो।",यही समय है खुद से वादा करने का।,"छोटा संकल्प भी, बड़ा बदलाव ला सकता है।","कल एक वादा खुद से करो, और निभाओ।",इसे किसी जल्दी उठने वाले दोस्त को भेजें। फिर से सुनो।,Sooraj ugne se pehle
brahma_muhurta,एक मिनट रुको: मौन से शुरुआत।,"हर सुबह बोलने से पहले, सुनना सीखो।","हवा की आवाज़, पंछियों की चहचहाहट - यही पहला संगीत है।","शोर से भरा दिन, अक्सर शोर से भरी सुबह से शुरू होता है।",आज सुबह पहला घंटा फोन मत छुओ।,"बस महसूस करो, क्या बदलता है।",मौन अभ्यास के लिए फॉलो करें। दोबारा देखो।,Maun se shuruaat
brahma_muhurta,रुको— खुद के लिए एक घंटा।,"पूरा दिन दूसरों का होता है, सुबह का एक घंटा तुम्हारा होने दो।","इस घंटे में कोई मांग नहीं, कोई जवाब नहीं।","सिर्फ सांस, सिर्फ शांति।",यह घंटा तुम्हें बाकी दिन के लिए तैयार करता है।,कल यह एक घंटा खुद को दो।,खुद के लिए समय निकालने वालों के लिए फॉलो करें। एक बार और सुनो।,Khud ke liye ek ghanta
kashi_ghat,एक सच सुनो: काशी में मौत भी शांत लगती है।,"यहाँ जीवन और मृत्यु एक साथ, बिना डर के चलते हैं।","जो यहाँ समझ आता है, वो कहीं और नहीं मिलता।","अंत से डरना बंद करो, यही सबसे बड़ी सीख है।","जीना पूरी तरह से, यही असली श्रद्धांजलि है खुद को।","आज मौत से नहीं, अधूरी ज़िंदगी से डरो।",इस सोच के लिए सेव करें। फिर से महसूस करो।,Kashi mein maut bhi shant lagti hai
kashi_ghat,क्या तुम्हें पता है? गंगा आरती का पल।,"हज़ार दीये जलते हैं, पर हर एक की रोशनी अपनी होती है।",तुम्हारा प्रकाश भी किसी और से तुलना का मोहताज नहीं।,"भीड़ में भी, हर दीया अकेला जलता है, पूरी शिद्दत से।",अपनी रोशनी को छोटा मत समझो।,आज अपने अंदर का दीया थोड़ा तेज़ जलाओ।,इसे किसी को भेजें जिसे यह याद दिलाना है। इसे फिर सुनो।,Ganga aarti ka pal
kashi_ghat,आज की सच्चाई: घाट की सीढ़ियाँ।,"हर सीढ़ी एक कहानी है, कोई ऊपर जाता है, कोई नीचे।",ज़िंदगी भी ऐसी ही चढ़ाई-उतराई है।,"गिरना बुरा नहीं, रुक जाना बुरा है।","एक सीढ़ी और चलो, चाहे कितना भी थके हो।","आज हार मत मानो, बस एक कदम और बढ़ाओ।","हिम्मत के लिए फॉलो करें। रुको, फिर से सुनो।",Ghat ki seedhiyan
kashi_ghat,ज़रा रुक जाओ। पुरानी नगरी का सबक।,काशी हज़ारों साल से बह रही गंगा को देखती आई है।,"इतने बदलाव के बाद भी, कुछ चीज़ें स्थिर रहती हैं - सच, शांति, श्रद्धा।","तुम्हारे अंदर भी कुछ ऐसा होना चाहिए, जो कभी न बदले।","अपनी जड़ों को मत भूलो, चाहे कितना भी आगे बढ़ो।","आज अपनी एक जड़ को याद करो, जो तुम्हें मज़बूत बनाती है।",जड़ों की याद के लिए सेव करें। फिर से सुनो।,Purani nagari ka sabak
kashi_ghat,यह बात ध्यान से सुनो: नाव पर बैठे हुए।,"पानी पर बहना है तो, नाव को नियंत्रण में रखना छोड़ना पड़ता है।",ज़िंदगी भी बहाव के साथ चलने में आसान लगती है।,"हर चीज़ को नियंत्रित करने की कोशिश, थकान ही देती है।","कभी कभी बस बहने दो, देखो कहाँ पहुंचते हो।",आज एक चीज़ को नियंत्रित करना छोड़ दो।,बहाव के साथ चलने वालों के लिए फॉलो करें। दोबारा देखो।,Naav par baithe hue
mountain_mind,यह जान लो: बर्फ़ जैसा धैर्य।,"बर्फ़ जल्दी नहीं पिघलती, अपने समय पर पिघलती है।","तुम्हारे घाव भी अपने समय पर भरेंगे, जल्दी मत करो।",हर मौसम का अपना काम है।,सर्दी के बाद बसंत ज़रूर आता है।,"आज अपने दर्द को समय दो, भागो मत उससे।",धैर्य के लिए सेव करें। एक बार और सुनो।,Barf jaisa dhairya
mountain_mind,एक मिनट रुको: ऊँचाई पर अकेलापन।,"जितना ऊपर जाओगे, साथ उतना कम होता जाएगा।","यह डरावना नहीं, यह तुम्हारी असली ताकत दिखाता है।","भीड़ हमेशा साथ नहीं देती, खुद पर भरोसा रखना सीखो।","अकेले चलना, कमज़ोरी नहीं, आत्मनिर्भरता है।",आज खुद पर भरोसा करने का एक फैसला लो।,आत्मनिर्भरता के लिए फॉलो करें। फिर से महसूस करो।,Unchai par akelapan
mountain_mind,रुको— चट्टान जैसा स्थिर मन।,"तूफ़ान आते हैं, पहाड़ हिलते नहीं।","तुम्हारी जड़ें जितनी गहरी होंगी, उतना कम डगमगाओगे।","हर आलोचना, हर मुश्किल तुम्हें तोड़ने नहीं आती।","स्थिर रहना सीखो, चाहे बाहर कितना भी शोर हो।","आज किसी बात पर स्थिर रहो, प्रतिक्रिया मत दो।",स्थिरता के लिए सेव करें। इसे फिर सुनो।,Chattan jaisa sthir mann
mountain_mind,एक सच सुनो: बादलों के पार साफ आसमान।,"जब बादल घने लगें, याद रखो ऊपर आसमान हमेशा साफ है।",मुश्किल वक़्त हमेशा नहीं रहता।,"यह सिर्फ एक मौसम है, तुम्हारी पूरी ज़िंदगी नहीं।","धैर्य रखो, बादल छंट जाएंगे।",आज खुद से कहो: यह भी गुज़र जाएगा।,"उम्मीद के लिए फॉलो करें। रुको, फिर से सुनो।",Baadalon ke paar saaf aasman
mountain_mind,क्या तुम्हें पता है? हर चढ़ाई का अपना रास्ता।,"हर किसी का शिखर अलग है, तुलना मत करो।","कोई तेज़ चढ़ता है, कोई धीरे - मंज़िल दोनों की सच्ची है।",अपनी गति पर भरोसा रखो।,"रुकना ठीक है, बस चलना मत छोड़ो।",आज अपनी रफ़्तार से एक कदम बढ़ाओ।,अपनी यात्रा के लिए फॉलो करें। फिर से सुनो।,Har chadhai ka apna raasta
inner_home,"आज की सच्चाई: घर बाहर नहीं, अंदर है।","तुम जहाँ भी जाओ, खुद को साथ ले जाते हो।","बाहर की जगह बदलने से, अंदर की बेचैनी नहीं जाती।",पहले खुद के साथ शांति बनाओ।,फिर कोई भी जगह घर जैसी लगेगी।,आज खुद के साथ पांच मिनट बिना जज़्बात के बैठो।,इसे सेव करके रखें। दोबारा देखो।,"Ghar bahar nahi, andar hai"
inner_home,ज़रा रुक जाओ। खुद से मुलाकात।,"दिन भर सबसे मिलते हो, खुद से मिलना भूल जाते हो।","आईने में सिर्फ चेहरा नहीं, मन भी देखो।",खुद से सवाल पूछो: आज मैं सच में कैसा हूँ?,जवाब को बिना जज किए सुनो।,आज खुद से पांच मिनट की ईमानदार बातचीत करो।,खुद को जानने के अभ्यास के लिए फॉलो करें। एक बार और सुनो।,Khud se mulakat
inner_home,"यह बात ध्यान से सुनो: भीतर की शांति, बाहर का सुकून।","जब अंदर शांत होते हो, बाहर की उलझनें छोटी लगती हैं।","बाहर हल करने से पहले, अंदर संभालना सीखो।","गुस्सा, बेचैनी बाहर से नहीं, अंदर से शुरू होती है।","अपनी प्रतिक्रिया पर काम करो, हालात पर नहीं।","आज एक पल रुककर सांस लो, फिर जवाब दो।",शांत प्रतिक्रिया के लिए सेव करें। फिर से महसूस करो।,"Bhitar ki shanti, bahar ka sukoon"
inner_home,"यह जान लो: जो अंदर भरा है, वही बाहर छलकता है।","अगर अंदर शिकायत भरी है, बाहर भी शिकायत निकलेगी।","अगर अंदर शुक्रिया भरा है, बाहर भी वही झलकेगा।","अपने अंदर क्या भर रहे हो, यह चुनना तुम्हारे हाथ में है।",आज गुस्से की जगह शुक्रिया चुनो।,देखो क्या बदलता है।,इसे किसी को भेजें जिसे शुक्रिया याद दिलाना है। इसे फिर सुनो।,"Jo andar bhara hai, wahi bahar chalakta hai"
inner_home,एक मिनट रुको: लौटने का रास्ता हमेशा खुला है।,"चाहे कितना भी भटक जाओ, वापस आने का रास्ता बंद नहीं होता।","खुद के पास लौटना, कभी देर नहीं होती।",एक गहरी सांस ही वापसी का पहला कदम है।,खुद को दूसरा मौका देना सीखो।,"आज खुद के पास वापस लौटो, बिना शर्त।","वापसी के इस पल के लिए सेव करें। रुको, फिर से सुनो।",Lautne ka raasta hamesha khula hai
gratitude,रुको— छोटी चीज़ों का शुक्रिया।,"एक कप चाय, एक गहरी सांस - इनका भी शुक्रिया अदा करो।","बड़ी खुशियों का इंतज़ार करते-करते, छोटी खुशियाँ छूट जाती हैं।","जो आज तुम्हारे पास है, कभी किसी की दुआ था।","शिकायत की जगह शुक्रिया चुनो, फ़र्क खुद महसूस होगा।",आज तीन चीज़ों के लिए शुक्रिया कहो।,शुक्रगुज़ार रहने के लिए फॉलो करें। फिर से सुनो।,Choti cheezon ka shukriya
gratitude,"एक सच सुनो: जो है, उसकी कद्र करो।","जो नहीं है, उसका दुख मनाने में, जो है वो भी छूट जाता है।","सेहत, परिवार, एक छत - यह सब आसान नहीं मिलता सबको।","आज जो तुम्हारे पास है, उसे हल्के में मत लो।","कद्र करना सीखो, तुलना करना नहीं।",किसी एक चीज़ को आज ध्यान से महसूस करो।,"इसे सेव करें, याद रखने के लिए। दोबारा देखो।","Jo hai, uski kadar karo"
gratitude,क्या तुम्हें पता है? शुक्रिया एक ताकत है।,"जो शुक्रगुज़ार रहता है, वो कम शिकायत करता है।","शुक्रिया मन को भारी नहीं, हल्का बनाता है।","मुश्किल वक़्त में भी, कुछ न कुछ शुक्रिया लायक होता है।",आज मुश्किल में भी एक अच्छी बात ढूंढो।,यही आदत तुम्हें मज़बूत बनाती है।,मज़बूत मन के लिए फॉलो करें। एक बार और सुनो।,Shukriya ek taakat hai
gratitude,आज की सच्चाई: आज का दिन भी एक तोहफ़ा है।,"हर दिन मिलना तय नहीं होता, फिर भी हम इसे मामूली समझते हैं।","जो सुबह मिली, वो किसी के लिए दुआ थी।",आज को कल की चिंता में मत गंवाओ।,"जो आज है, उसे पूरी तरह जियो।","आज एक पल रुककर कहो: शुक्रिया, आज के लिए।",आज को जीने वालों के लिए फॉलो करें। फिर से महसूस करो।,Aaj ka din bhi ek tohfa hai
gratitude,ज़रा रुक जाओ। रिश्तों का शुक्रिया अदा करो।,"जो लोग बिना कहे साथ खड़े रहते हैं, उनकी कद्र करो।","हर रिश्ता परफेक्ट नहीं होता, पर हर सच्चा रिश्ता कीमती होता है।",आज किसी को बताओ कि वो तुम्हारे लिए मायने रखता है।,"शब्द छोटे होते हैं, असर बड़ा होता है।",आज एक शुक्रिया का मैसेज भेजो।,किसी अपने को टैग करें। इसे फिर सुनो।,Rishton ka shukriya ada karo
patience,यह बात ध्यान से सुनो: इंतज़ार भी एक कला है।,"हर बीज तुरंत पेड़ नहीं बनता, समय लगता है।","जो जल्दी में है, वो अक्सर रास्ता खो देता है।","धैर्य कमज़ोरी नहीं, गहरी समझ है।","अपने प्रयास पर भरोसा रखो, नतीजे पर नहीं।","आज किसी चीज़ को समय दो, जल्दबाज़ी मत करो।","धैर्य के लिए सेव करें। रुको, फिर से सुनो।",Intezaar bhi ek kala hai
patience,"यह जान लो: देर सही, अंधेर नहीं।","हर चीज़ का अपना समय होता है, तुम्हारा भी आएगा।",किसी और की रफ़्तार से खुद को मत आंको।,"जो देर से खिलते हैं, वो भी उतने ही खूबसूरत होते हैं।","आज खुद को समय दो, बिना दबाव के।",तुम्हारा समय आ रहा है।,उम्मीद रखने वालों के लिए फॉलो करें। फिर से सुनो।,"Der sahi, andher nahi"
patience,एक मिनट रुको: जल्दबाज़ी का जाल।,"जल्दी में लिए फैसले, अक्सर सबसे ज़्यादा पछतावा लाते हैं।","रुककर सोचना, कमज़ोरी नहीं, समझदारी है।",हर सवाल का जवाब तुरंत देना ज़रूरी नहीं।,"आज एक फैसला लेने से पहले, एक गहरी सांस लो।","जल्दबाज़ी छोड़ो, स्पष्टता चुनो।","इसे सेव करें, याद रखने के लिए। दोबारा देखो।",Jaldbaazi ka jaal
patience,रुको— धीरे-धीरे भी पहुंच जाओगे।,"तेज़ चलना ज़रूरी नहीं, सही दिशा में चलना ज़रूरी है।","छोटे कदम भी, लगातार चलें तो मंज़िल तक पहुंचाते हैं।",खुद से तुलना मत करो कि तुम कहाँ होने चाहिए थे।,"जहाँ हो, वहीं से शुरू करो।","आज एक छोटा कदम बढ़ाओ, बस इतना काफी है।",छोटे कदमों के लिए फॉलो करें। एक बार और सुनो।,Dheere-dheere bhi pahunch jaoge
patience,एक सच सुनो: फल का इंतज़ार करना सीखो।,"मेहनत के फ़ौरन नतीजे न दिखें, तो हार मत मानो।","जड़ें अंदर बढ़ रही होती हैं, भले ऊपर कुछ न दिखे।","हर कोशिश बेकार नहीं जाती, भले असर देर से दिखे।",आज अपनी मेहनत पर भरोसा रखो।,फल अपने समय पर आएगा।,मेहनत करने वालों के लिए सेव करें। फिर से महसूस करो।,Phal ka intezaar karna seekho
self_love,क्या तुम्हें पता है? खुद से प्यार करना सीखो।,"तुम दूसरों का जितना ख़याल रखते हो, खुद का भी रखो।","खुद की गलतियों को माफ़ करना, सबसे ज़रूरी आदत है।","जो खुद से प्यार करता है, वो सही उम्मीद रखना सीखता है।","तुम्हारी कीमत, किसी की राय पर निर्भर नहीं।",आज आईने में देखकर खुद को एक अच्छी बात कहो।,खुद से प्यार के लिए सेव करें। इसे फिर सुनो।,Khud se pyaar karna seekho
